tool, release, total_modules, change_cost, sc_75, sc_90, sc_95
accessanalysis, AccessAnalysis-1.2-src, 91, 0.02, 1, 4, 4
bogor, bogor-core, 545, 0.07, 8, 14, 55
boon, boon-1.0, 12, 0.31, 1, 4, 6
closure-compiler, closure-compiler-20110119, 1122, 0.05, 4, 17, 42
closure-compiler, closure-compiler-20110811, 1730, 0.10, 5, 20, 40
closure-compiler, closure-compiler-20120305, 1802, 0.10, 5, 20, 42
closure-compiler, closure-compiler-20120917, 1836, 0.10, 6, 20, 42
closure-compiler, closure-compiler-20130227, 1759, 0.11, 6, 20, 48
closure-compiler, closure-compiler-20130722, 1806, 0.10, 6, 20, 48
closure-compiler, closure-compiler-20140110, 2004, 0.08, 5, 20, 45
closure-compiler, closure-compiler-20140730, 1573, 0.04, 4, 20, 48
closure-compiler, closure-compiler-20150126, 1596, 0.04, 5, 22, 56
closure-compiler, closure-compiler-20150729, 1649, 0.04, 6, 26, 65
closure-compiler, closure-compiler-20160125, 1724, 0.04, 5, 28, 68
closure-compiler, closure-compiler-20160517, 1800, 0.04, 6, 30, 68
closure-compiler, closure-compiler-20160713, 1860, 0.04, 6, 30, 70
composite, composite-0.4, 17, 0.10, 2, 9, 41
cppcheck, cppcheck-1.72, 338, 0.07, 20, 54, 90
cqual, cqual-0.981, 78, 0.28, 18, 136, 198
cseq, cseq-0.5, 106, 0.06, 54, 80, 88
ejb, EJB, 244, 0.14, 18, 24, 36
error-prone, error-prone-2.0.9, 1703, 0.00, 1, 6, 10
findbugs, findbugs-1.2.1-source, 1044, 0.05, 7, 20, 36
findbugs, findbugs-1.3.4-source, 1216, 0.06, 7, 21, 42
findbugs, findbugs-1.3.5-source, 1257, 0.05, 7, 21, 40
findbugs, findbugs-1.3.6-source, 1258, 0.05, 8, 21, 42
findbugs, findbugs-1.3.7-source, 1261, 0.05, 7, 22, 42
findbugs, findbugs-1.3.8-source, 1275, 0.05, 7, 22, 42
findbugs, findbugs-1.3.9-source, 1354, 0.06, 7, 24, 48
findbugs, findbugs-2.0.0-source, 1459, 0.06, 7, 24, 52
findbugs, findbugs-2.0.1-source, 1465, 0.06, 7, 24, 54
findbugs, findbugs-2.0.2-source, 1469, 0.06, 7, 24, 56
findbugs, findbugs-2.0.3-source, 1489, 0.06, 7, 24, 56
findbugs, findbugs-3.0.0-source, 1438, 0.07, 7, 24, 56
findbugs, findbugs-3.0.1, 1486, 0.07, 8, 25, 56
findsecuritybugs, findsecbugs-plugin-1.4.5-sources, 91, 0.03, 2, 4, 6
guizmo, guizmo-master, 306, 0.02, 6, 10, 16
gumtree, gumtree-2.0.0, 190, 0.04, 4, 8, 20
indus, indus, 524, 0.02, 4, 16, 24
inputtracer, valgrind-inputtracer, 2045, 0.23, 3, 20, 84
jastadd, jastadd2-src, 59, 0.10, 10, 36, 54
jflow, vazexqi-JFlow-7cd7eaf, 177, 0.02, 2, 8, 12
jlint, jlint-3.1.2, 44, 0.45, 7, 14, 24
lotrack, Lotrack-master, 4059, 0.03, 7, 22, 40
mpanalyzer, MPAnalyzer-master, 240, 0.01, 0, 4, 8
pixy, pixy-master, 229, 0.10, 10, 30, 54
pmd, pmd-src-4.2.5, 844, 0.06, 6, 15, 28
pmd, pmd-src-4.3, 852, 0.06, 6, 15, 28
pmd, pmd-src-5.0.0, 1043, 0.03, 6, 14, 25
pmd, pmd-src-5.0.4, 1052, 0.02, 6, 12, 24
pmd, pmd-src-5.1.0, 1238, 0.02, 6, 12, 24
pmd, pmd-src-5.1.3, 1254, 0.02, 6, 12, 25
pmd, pmd-src-5.2.0, 1295, 0.02, 6, 12, 25
pmd, pmd-src-5.3.0, 1341, 0.01, 6, 12, 25
pmd, pmd-src-5.3.3, 1342, 0.02, 6, 12, 25
pmd, pmd-src-5.3.7, 1374, 0.01, 6, 12, 25
pmd, pmd-src-5.4.0, 1332, 0.02, 6, 12, 26
pmd, pmd-src-5.4.2, 1366, 0.02, 6, 12, 26
pmd, pmd-src-5.5.2, 1530, 0.01, 6, 12, 25
