tool, release, total_modules, change_cost, sc_75, sc_90, sc_95
findbugs, findbugs-1.2.1-source, 1044, 0.05, 7, 20, 36
findbugs, findbugs-1.3.4-source, 1216, 0.06, 7, 21, 42
findbugs, findbugs-1.3.5-source, 1257, 0.05, 7, 21, 40
findbugs, findbugs-1.3.6-source, 1258, 0.05, 8, 21, 42
findbugs, findbugs-1.3.7-source, 1261, 0.05, 7, 22, 42
findbugs, findbugs-1.3.8-source, 1275, 0.05, 7, 22, 42
findbugs, findbugs-1.3.9-source, 1354, 0.06, 7, 24, 48
findbugs, findbugs-2.0.0-source, 1459, 0.06, 7, 24, 52
findbugs, findbugs-2.0.1-source, 1465, 0.06, 7, 24, 54
findbugs, findbugs-2.0.2-source, 1469, 0.06, 7, 24, 56
findbugs, findbugs-2.0.3-source, 1489, 0.06, 7, 24, 56
findbugs, findbugs-3.0.0-source, 1438, 0.07, 7, 24, 56
findbugs, findbugs-3.0.1, 1486, 0.07, 8, 25, 56
