tool, release, total_modules, change_cost, sc_75, sc_90, sc_95
wala, wala-code-4607-tags-R_1.0.02, 1685, 0.02, 8, 25, 48
wala, wala-code-4607-tags-R_1.0, 1223, 0.02, 8, 27, 45
wala, wala-code-4607-tags-R_1.1.2, 1720, 0.02, 8, 24, 50
wala, wala-code-4607-tags-R_1.1, 1872, 0.02, 7, 24, 48
wala, wala-code-4607-tags-R_1.2.1.1, 1901, 0.02, 6, 24, 48
wala, wala-code-4607-tags-R_1.2.2, 1903, 0.02, 6, 24, 48
wala, wala-code-4607-tags-R_1.2, 1734, 0.02, 7, 25, 49
wala, wala-code-4607-tags-R_1.3, 1945, 0.02, 6, 24, 52
wala, WALA-R_1.3.3, 2092, 0.01, 6, 24, 50
wala, WALA-R_1.3.5, 2143, 0.02, 6, 22, 49
wala, WALA-R_1.3.6, 2154, 0.02, 6, 22, 49
wala, WALA-R_1.3.8, 2626, 0.02, 7, 24, 54
wala, WALA-R_1.3.9, 2636, 0.02, 7, 24, 54
