tool, release, total_modules, change_cost, sc_75, sc_90, sc_95
closure-compiler, closure-compiler-20110119, 1122, 0.05, 4, 17, 42
closure-compiler, closure-compiler-20110811, 1730, 0.10, 5, 20, 40
closure-compiler, closure-compiler-20120305, 1802, 0.10, 5, 20, 42
closure-compiler, closure-compiler-20120917, 1836, 0.10, 6, 20, 42
closure-compiler, closure-compiler-20130227, 1759, 0.11, 6, 20, 48
closure-compiler, closure-compiler-20130722, 1806, 0.10, 6, 20, 48
closure-compiler, closure-compiler-20140110, 2004, 0.08, 5, 20, 45
closure-compiler, closure-compiler-20140730, 1573, 0.04, 4, 20, 48
closure-compiler, closure-compiler-20150126, 1596, 0.04, 5, 22, 56
closure-compiler, closure-compiler-20150729, 1649, 0.04, 6, 26, 65
closure-compiler, closure-compiler-20160125, 1724, 0.04, 5, 28, 68
closure-compiler, closure-compiler-20160713, 1860, 0.04, 6, 30, 70
