"","1%","5%","10%","25%","50%","75%","90%","95%","99%","mean","stddev"
"closure",0,0,0,0,1,3,6,10,30.1799999999998,2.96796959826276,8.4608280441687
"cppcheck",0,0,0,0,1,3,6.30000000000001,9.14999999999998,20.52,2.57100591715976,4.85419328590634
"cqual",0,0,0,0,2.5,15.75,70.3,90.15,268.430000000002,25.3846153846154,81.5126841805475
"findbugs",0,0,0,0,1,3,7,11,25.1500000000001,2.71265141318977,5.02051697295326
"findsecuritybugs",0,0,0,1,2,3,6,8,10.1999999999999,2.67032967032967,2.9778998753967
"jlint",0,0,0,1,2,5,9.40000000000001,14.55,20.56,3.88636363636364,4.94723746775591
"pixy",0,0,0,1,2,3,6,8,26.2,2.68995633187773,4.10337200850593
"pmd",0,0,0,0,1,2,4.10000000000014,7,17,1.74776119402985,3.73493921452648
"rats",0,0,0,0,24,41.5,43.6,46.4,49.28,22.5263157894737,19.3401379434717
"smatch",0,0,0,0,1,4,8.80000000000001,13.9,91.9800000000001,4.824016563147,16.4566601311422
"splint",0,0,0,0,1,4,9,20,98.6000000000001,6.00734214390602,19.4406700475061
"uno",0,0,0.8,4.5,16,45,64,77.5999999999999,117.92,30.3157894736842,33.0404678329452
"wap",0,0,0,0,0,0,0,1,331.749999999999,6.81360946745562,53.4837743330013
